S.no,Name,Adress,Phone,Fax,Email
1,Blood Bank District Combined Hospital Chitrakoot,null,-,-,-
2,Distt.Hospital Shahjahanpur,null,-,-,-
3,DISTRICT HOSPITAL GOPESHWAR,"DISTRICT HOSPITAL GOPESHWAR (CHAMOLI)., GOPESHWAR, Chamoli, Uttarakhand","7060418084,9634616351 ",-  ,Gprcms@gmail.com
4,Shri Maharaja Hari Hospital Srinagar,"Shri Maharaja Hari Hospital Srinagar, Srinagar, Srinagar, Jammu and Kashmir",9149911418 ,-  ,handwshaziadra@gmail.com
5,Blood Bank Government Medical College Baramulla,"GMC Road Kanth Bagh , Baramula, Jammu and Kashmir",9419400084 ,01952234203  ,dhbaramulla@gmail.com
6,Indian Red Cross Society Blood Bank Chittoor,"Dist.Govt.Hqrs.Hospital Campus,Chittoor, Chittoor, Chittoor, Chittoor, Andhra Pradesh",8019383106 ,-  ,ircsbbchittoor@gmail.com
7,Blood bank Civil Hospital Anandpur Sahib ,"Civil Hospital Complex, Anandpur Sahib , Rupnagar, Punjab",9872542488 ,-  ,chanandpursahib1@gmail.com
8,DISTRICT HOSPITAL BLOOD BANK KHAMMAM,"Ground Floor,RoomNo.30District Head Quarters Hospital, Room No.30 , Khammam, Khammam, Telangana",9951649780 ,-  ,bloodbankkhammam@gmail.com
9,KOTDWARA BLOOD BANK,"GOVT.COMBINED HOSPITAL  KOTDWARA PAURI GARHWAL, KOTDWARA, Pauri Garhwal, Uttarakhand",8077636388 ,123456  ,cms.kotdwara@gmail.com
10,Sant Kabir Nagar,"COMBINED DISTRICT HOSPITAL SANT KABIR NAGA, CHC KHALILABAD CAMPUS KHALILABAD SANT KABIR NAGAR, SANT KABIR NAGAR , Sant Kabir Nagar, Uttar Pradesh",05547297116 ,-  ,bloodbankskn@gmail.com
11,Govt District Hospital Kathua,"Govt District Hospital Kathua, Kathua, Kathua, Jammu and Kashmir",9419183367 ,-  ,medsupdtdhk@gmail.com
12,Area Hospital Blood Bank Sircilla,"Rajanna Sircilla Dist., Sircilla, Rajanna Sircilla, Telangana",9059058006 ,-  ,Bbsrcl@gmail.com
13,Combined District Hospital Shrawasti,"Combined District Hospital, Shrawasti , Shrawasti, Shravasti, Uttar Pradesh",9415490457 ,-  ,bloodbankdhshrawasti@gmail.com
14,RAJA SUKHDEV SINGH DISTRICT HOSPITAL POONCH,"DISTRICT HOSPITAL POONCH, DISTRICT HOSPITAL POONCH, POONCH, Poonch, Jammu and Kashmir",941608715 ,01965220152  ,Ms.dh.poonchgmail.com
15,Dr. Ram manohar Lohia Institute of Medical Science Lucknow,"Hospital Block , Lucknow, Lucknow, Uttar Pradesh",8765677008 ,-  ,blbankrmllko@rediffmail.com
16,Jawahar Lal Nehru Memorial Hospital srinagar,"Jawahar Lal Nehru Memorial Hospital srinagar, RAINAWARI, Srinagar, Jammu and Kashmir",- ,-  ,shaikaqadri@gmail.com
17,"GMERS Medical college &  general Hospital, Himmatnagar","Blood bank, , GMERS Medical college, Himmatnagar, Sabar Kantha, Gujarat",0277-2290129/ 9099069454 ,-  ,deangmershimmatnagar@gmail.com
18,"ABVIMS, Dr Ram Manohar Lohia Hospital","Baba Kharak Singh Marg, Near Gurudwara Bangla Sahib, New Delhi, Central, Delhi",23404286 ,23361758    ,drchaudharyk@yahoo.co.in
19,Indian Red Cross Society Blood Bank Eluru,"Govt General hospital Premises, R.R Peta, Eluru, Eluru, West Godavari, Andhra Pradesh",08812-224722 ,-  ,redcrosseluru@gmail.com
20,Blood Bank District Hospital Harda,"District Hospital Chhipner Road,Harda, Harda, Harda, Madhya Pradesh",9425981771 ,-  ,bloodbankharda@gmail.com
21,Combined District Hospital Maharajganj,"COMBINED DISTRICT HOSPITAL MAHARAJGANJ IN CAMPUS, FARENDA ROAD , MAHARAJGANJ, Maharajganj, Uttar Pradesh",9305885512 ,-  ,BLOODBANKMAHARAJGANJ@GMAIL.COM
22,Civil Hospital Kapurthala,"Civil Hospital Kapurthala, Kapurthala, Kapurthala, Punjab",8427348708 ,-  ,ictckapurthala@gmail.com
23,Indian Red Cross Regional Blood Bank LUDHIANA,"RED CROSS BHAWAN, THE MALL ROAD, LUDHIANA, Ludhiana, Punjab",9878430799 ,   ,rcbbldh@gmail.com
24,Blood Bank District Hospital Kaushambi,"JOINT DISTRICT HOSPITAL MANJHANPUR KAUSHAMBI, Kaushambi, Kaushambi, Uttar Pradesh",9648322130 ,-  ,Bloodbankksi@gmail.com
25,District Hospital Blood Bank Udupi,"District Hospital Blood Bank udupi, Udupi, Karnataka",9902199990 ,-  ,udp.districthospital.bbegmail.com
26,Blood BankDistrict Hospital Pulwama,"Blood BankDistrict Hospital Pulwama, Pulwama, Pulwama, Jammu and Kashmir",9419070964 ,-  ,dhpulwama@gmail.com
27,Dr. Shusheela Tiwari Govt. Hospital Blood Bank,"Dr. Shusheela Tiwari Govt. Medical College, Haldwani, Nainital, Uttarakhand",9997244005 ,-1  ,bloodbank009@gmail.com
28,Distt Level Blood Bank Mahoba,"Dist hospital mahoba, bus stand, Mahoba, Mahoba, Uttar Pradesh",9532897557 ,-  ,Cmsdhmahoba@gmail.com
29,NRS Medical College & Hospital Blood Centre,"138 AJC BOSE ROAD , KOLKATA, KOLKATA, Kolkata, West Bengal",- ,-  ,nrsmchbb@gmail.com
30,Distt.H.M.G HOSPITAL HARIDWAR,"BILKESHWAR ROAD, NEAR GOVT.MELA HOSPITAL, Haridwar, Haridwar, Uttarakhand", 94142379159 /01334223737 ,-  ,bloodbankharidwar@gmail.com
31,"GMERS MEDICAL COLLEGE,VALSAD","NANAKWADA,HALAR ROAD,VALSAD, VALSAD, Valsad, Gujarat",251714 ,251714  ,Civilhospital.Valsad@gmail.com
32,District Hospital Blood Bank Narayanpet,"TVVP District Hospital, Narayanpet, Mahbubnagar, Telangana",9000478184 ,-  ,tvvpbloodbanknarayanpet@gmail.com
33,M/S MMABM Hosital Ang,"janglat Mandi, Anantnag, Anantnag, Jammu and Kashmir",932222170 ,-  ,mmabmhospital@gmail.com
34,Blood Bank CH Nakodar,"Old court Road , Near Royal Tower, Nakodar, Jalandhar, Punjab",9814152046 ,-  ,smonakodar@gmail.com
35,Blood Bank Civil Hospital Pathankot,"Blood Bank Civil Hospital Pathankot, Pathankot, Pathankot, Punjab",9463989182 ,-  ,bloodbankchptk@gmail.com
36,BLOOD BANK GMCAH DODA,"District Hospital Doda , Doda, Doda, Jammu and Kashmir",01996233481 ,01996233419  ,bloodbankdoda@gmail.com
37,Blood Bank Govt Medical College ORAI ,"Blood Bank Govt Medical College ORAI , ORAI, Jalaun, Uttar Pradesh",9415189833 ,-  ,bloodbankoraicollege@gmail.com
38,Moti Lal Nehru Medical College & Swaroop Rani Nehru Hospital Prayagraj,"Swaroop Rani Nehru Hospital, Prayagraj, Prayagraj, Uttar Pradesh",0532-2256191 ,-  ,bbmlnmc@gmail.com
39,District Hospital Udhampur Jammu,"District Hospital Udhampur Jammu, Udhampur, Udhampur, Jammu and Kashmir",8803626665 ,999  ,msdhu1@rediffmail.com
40,Civil Hospital Ludhiana,"old jail road near CMC Hospital , Ludhiana, Ludhiana, Punjab",9779552016 ,-  ,bloodbank64@yahoo.com
41,Blood Bank Distt. Hospital Uttarkashi,"Blood Bank Dist. Hospital Uttarkashi, Uttarkashi, Uttarkashi, Uttarakhand",9917660008 ,-  ,bloodbankuttarkashi@gmail.com
42,NILOUFER HOSPITAL FOR WOMEN AND CHILDREN,"RED HILLS , NAMPALLY, Hyderabad, Telangana",040 – 23314095  ,-  , bloodbankniloufer@gmail.com
43,Blood Bank Civil Hospital Rupnagar,"Civil Hospital Rupnagar Near Bela Chowk Rupnagar(Ropar), Rupnagar, Rupnagar, Punjab",01881-228040 ,01881-228040  ,bbchrpr@yahoo.co.in
44,Autonomous State Medical College & SNM Hospital  Firozabad,"S.N.M District Hospital Subhash Chauraha , Firozabad, Firozabad, Firozabad, Uttar Pradesh",9412170496 ,9412170496  ,Drnaveenpath@gmail.com
45,Roorkee Blood Bank,"Gov Combined Hospital, Roorkee, Roorkee, Haridwar, Uttarakhand","01332263671,9917660008,9690005344 ",-  ,Civil.bloodbank@gmail.com
46,B D Pandey District Hospital Pithoragarh,"B D Pandey District Hospital Pithoragarh, Pithoragarh, Pithoragarh, Uttarakhand",9411119184 ,-  ,drsharma377@gmail.com
47,"MAHATHMA GANDHI MEMORIAL HOSPITAL BLOOD BANK, Warangal","ROOM NO 101.MGM BLOOD BANK HOSPITAL , Warangal, Warangal (Urban), Telangana","9963433383,7207613965 ",-  ,mgmhbloodbank@gmail.com
48,Disrict Hospital Shahdol,"District Hospita Shahdol , Dist Hosp SDL, Shahdol, Shahdol, Madhya Pradesh",9425183356 ,-  ,drsudhanamdev@gmail.com
49,"State of the Art Model Blood Bank, M.Y. Hospital ","M.Y HOSPITAL, M.G.M MEDICAL COLLEGE, Indore, Indore, Madhya Pradesh",0731-2438138 ,0731-2514628  ,modelbloodbankmyh@gmail.com
50,BLOOD BANK DISTRICT HOSPITAL SAMBA,"NEAR NEW BUS STAND SAMBA, SAMBA, Samba, Jammu and Kashmir",7780821974 ,-  ,bhagatshweta011@gmail.com
51,District Hospital ujjain,"blood bank District Hospital ujjain, ujjain, Ujjain, Madhya Pradesh",8770157414 ,-  ,bloodbankujjain2015@.com
